ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,RSI,DIF,DEA,MACD,BOLL_MID,BOLL_UP,BOLL_LOW,RSV,K,D,J
601869.SH,2025-09-08,83.66,86.0,80.87,83.97,89.85,-5.88,-6.5442,251226.21,2067807.892,63.036663899846864,10.303496106922552,9.288679025926221,2.029634161992661,71.096,100.95023563354388,41.241764366456124,51.82994454713492,68.97076418711646,77.65795598418781,51.59638059297376
601869.SH,2025-09-09,84.0,90.58,80.0,88.71,83.97,4.74,5.6449,244516.87,2135575.838,65.99099470160905,10.185642717206704,9.46807176418232,1.43514190604877,72.73400000000001,102.683954327353,42.78404567264702,61.62037037037034,66.52063269328343,73.94550628242943,51.670885514991426
601869.SH,2025-09-10,91.81,93.0,83.5,87.61,88.71,-1.1,-1.24,240219.91,2097355.211,64.69863879636989,9.889482452133535,9.552353901772562,0.6742571007219453,74.253,103.97282510396941,44.53317489603059,44.76470588235294,59.26865665240513,69.05321551278833,39.69953893163873
601869.SH,2025-09-11,88.5,95.36,85.39,93.25,87.61,5.64,6.4376,285174.88,2616303.994,68.14346342117143,9.994661931610295,9.64081550774011,0.7076928477403719,76.27799999999999,105.34060943839052,47.21539056160947,77.94117647058823,65.49283017531066,67.86641917772674,60.74565217047851
601869.SH,2025-09-12,89.96,92.88,88.01,89.3,93.25,-3.95,-4.2359,232877.48,2093258.839,63.47192414848384,9.648068510327278,9.642266108257544,0.011604804139466296,78.08099999999999,105.55663276413263,50.60536723586735,54.70588235294116,61.89718080483716,65.87667168694827,53.93819904061496
601869.SH,2025-09-15,88.0,91.68,86.11,86.95,89.3,-2.35,-2.6316,173603.2,1529324.445,60.801350984874325,9.079107071882461,9.529634300982528,-0.9010544582001323,79.66,105.20183029340004,54.11816970659996,40.882352941176485,54.89223805847895,62.215192134416405,40.24632990660406
601869.SH,2025-09-16,88.0,95.65,85.85,95.65,86.95,8.7,10.0058,200047.36,1832388.481,66.43228756633525,9.223891049489708,9.468485650683965,-0.4891892023885127,81.481,106.0651351495764,56.89686485042359,92.0588235294118,67.28110002966832,63.903828614918375,74.03564285916822
601869.SH,2025-09-17,96.98,104.74,93.4,99.68,95.65,4.03,4.2133,301235.64,2965063.493,68.6769163321219,9.55369170374621,9.485526861296414,0.13632968489959296,83.386,107.37449232883412,59.39750767116587,79.54729183508493,71.36983066393701,66.39249647099754,81.32449904981593
601869.SH,2025-09-18,99.68,109.65,96.0,109.65,99.68,9.97,10.002,262449.54,2703307.58,73.41344009427185,10.498536185528422,9.688128726142816,1.620814918771213,86.049,109.23047708839988,62.86752291160013,100.0,80.91322049313888,71.23273846832205,100.27418454277253
601869.SH,2025-09-19,115.1,120.62,111.91,120.62,109.65,10.97,10.0046,247471.92,2931302.737,77.45336345573504,11.994257233243502,10.149354427562953,3.6898056113610984,89.131,113.51826147203234,64.74373852796766,100.0,87.27548035121002,76.58031957957445,108.66580189448115
601869.SH,2025-09-22,120.54,120.54,108.56,115.28,120.62,-5.34,-4.4271,319020.87,3588212.98,71.73878365768718,12.603448854863657,10.640173313023094,3.926551083681126,91.651,115.90257262399395,67.39942737600605,85.61422413793103,86.72172827881433,79.96078934980243,100.24360613683811
601869.SH,2025-09-23,115.3,120.0,110.01,117.27,115.28,1.99,1.7262,238427.62,2753957.717,72.55153661642018,13.095853129866754,11.131309276391828,3.9290877069498507,93.961,118.75358284670111,69.16841715329889,90.4910587567414,87.9781717734272,82.63325026509571,98.66801479009018
601869.SH,2025-09-24,112.3,113.59,105.6,110.3,117.27,-6.97,-5.9435,186723.58,2052214.311,65.45163111107999,12.776388067491794,11.460325034611824,2.632126065759941,95.7055,119.90489318508479,71.50610681491521,70.31924072476271,82.09186141771794,82.45278731113405,81.3700096308857
601869.SH,2025-09-25,107.35,112.95,105.04,108.08,110.3,-2.22,-2.0127,150415.75,1636417.382,63.32597636032066,12.203401046343387,11.608940236958137,1.1889216187705003,96.96199999999999,120.98172925917824,72.94227074082174,63.93442622950819,76.03938301742924,80.3149858417089,67.48817736886991
601869.SH,2025-09-26,106.45,110.8,103.0,103.0,108.08,-5.08,-4.7002,134058.58,1425609.453,58.63338594375737,11.210167328391307,11.529185655244772,-0.63803665370693,97.5495,121.55576012654139,73.5432398734586,49.32412999712396,67.13429867318938,75.9214233998773,49.56004921981352
601869.SH,2025-09-29,102.65,108.0,102.0,105.55,103.0,2.55,2.4757,112897.51,1185497.404,60.226637018441444,10.507660371837488,11.324880598563317,-1.6344404534516563,98.22800000000001,122.33831192358667,74.11768807641334,44.63629684055838,59.6349647266558,70.4926037990338,37.91968658189981
601869.SH,2025-09-30,105.54,106.2,99.72,100.84,105.55,-4.71,-4.4623,139120.76,1417285.919,55.94086712503837,9.46179127058494,10.952262732967641,-2.9809429247654045,99.131,122.13252205490149,76.12947794509851,19.65881397238019,46.309581139145195,62.431596203069816,14.065551011295952
601869.SH,2025-10-09,100.92,102.65,97.7,97.98,100.84,-2.86,-2.8362,118689.55,1178782.829,53.453465507401425,8.306403327773552,10.423090851928823,-4.233375048310542,99.477,122.17349646044434,76.78050353955567,1.2216404886562002,31.280267586912874,52.04781996104253,-10.25483716134643
601869.SH,2025-10-10,98.24,98.55,90.64,91.23,97.98,-6.75,-6.8892,156011.53,1463550.493,48.02579243104104,6.768063448616232,9.692085371266305,-5.848043845300147,99.7385,121.89529938410291,77.58170061589709,1.9732441471572018,21.51125977276428,41.868966541004106,-19.204153763715368
601869.SH,2025-10-13,86.15,89.87,86.15,88.6,91.23,-2.63,-2.8828,96391.51,849604.939,46.063206680420265,5.275881908551483,8.808844678723341,-7.0659255403437164,99.676,121.95694999392067,77.39505000607933,7.237813884785788,16.7534444764803,33.497125839699706,-16.733918249958506
601869.SH,2025-10-14,89.51,91.99,84.95,85.18,88.6,-3.42,-3.86,111262.92,985274.216,43.569791363206605,3.773849284186767,7.801845599816027,-8.05599263125852,99.7365,121.84377841565721,77.6292215843428,0.8030726256983379,11.436653859336078,26.14363517189004,-17.977308765771845
601869.SH,2025-10-15,86.06,86.68,83.0,86.01,85.18,0.83,0.9744,107645.97,913274.707,44.35699608837689,2.6202470937678584,6.765525898606394,-8.290557609677071,99.6015,122.02303314162675,77.17996685837325,10.050083472454107,10.97446373036285,21.087244687856497,-9.251098184624446
601869.SH,2025-10-16,85.78,87.88,85.1,85.66,86.01,-0.35,-0.4069,77901.15,673059.97,44.077760867732785,1.658647120148828,5.744150142914881,-8.171006045532106,99.504,122.1608157747872,76.84718422521281,9.568345323740996,10.505757594813733,17.560082321869874,-3.6028918592985484
601869.SH,2025-10-17,90.0,90.0,82.23,82.6,85.66,-3.06,-3.5723,144263.59,1214712.054,41.611390131568584,0.6422523018416371,4.723770574700232,-8.16303654571719,98.9715,122.72144849855943,75.22155150144059,1.4357780364764858,7.48243107533144,14.200865238649735,-5.954437251305151
601869.SH,2025-10-20,84.25,85.94,81.24,82.33,82.6,-0.27,-0.3269,128289.6,1072822.459,41.39131292860935,-0.18292600084167532,3.742431259591851,-7.850714520867053,98.623,123.16193928132684,74.08406071867317,4.366987179487191,6.4439497767083225,11.615226750801924,-3.8986041714788797
601869.SH,2025-10-21,82.49,90.56,81.54,87.98,82.33,5.65,6.8626,256899.04,2228778.391,47.632844665015796,-0.3766363405412534,2.91861773956523,-6.590508160212967,98.6745,123.1144125461441,74.2345874538559,31.48061653432978,14.789505362626976,12.67331962155596,19.021876844769007
601869.SH,2025-10-22,86.74,93.25,85.48,91.59,87.98,3.61,4.1032,224684.53,1995135.382,51.208201976719174,-0.23613434069856964,2.28766732351247,-5.047603328422079,98.4715,123.08402421880102,73.85897578119899,59.79202772963609,29.790346151683742,18.37899513212228,52.61304819080667
601869.SH,2025-10-23,89.93,89.93,83.38,85.48,91.59,-6.11,-6.671,172656.12,1478904.258,45.540848772809994,-0.6107708440617188,1.7079796899976323,-4.637501068118702,97.7615,123.03755171948991,72.48544828051008,35.30391340549548,31.62820190295871,22.795397389338014,49.29381093020011
601869.SH,2025-10-24,86.7,92.19,84.75,89.89,85.48,4.41,5.1591,194297.23,1730169.478,49.85458920197198,-0.5455342487586279,1.2572769022463803,-3.6056223020100164,96.7735,121.63427212248904,71.91272787751096,72.02331390507912,45.09323923702028,30.22801133886865,74.82369503332353
601869.SH,2025-10-27,91.5,95.0,90.64,93.38,89.89,3.49,3.8825,204852.16,1908645.178,53.02572436309661,-0.2098014832219235,0.9638612251527195,-2.3473254167492863,95.4115,117.61408332527549,73.20891667472452,88.22674418604647,59.47107422004427,39.9756989661923,98.46182472774822
